City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
430,Guadalajara,MX,78.98,broken clouds,20.6667,-103.3333,Hotel Aranzazú
431,Hamilton,US,79.59,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
433,Abu Dhabi,AE,89.62,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
435,Pilar,BR,80.53,few clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
437,Alice Springs,AU,60.35,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
439,Manokwari,ID,78.13,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
440,Zhangye,CN,55.83,few clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
441,Tautira,PF,80.62,broken clouds,-17.7333,-149.15,Pension Oaoa
443,Byron Bay,AU,60.75,clear sky,-28.65,153.6167,Backpackers Inn on the Beach
444,Tananger,NO,53.74,broken clouds,58.9333,5.6,Hummeren Hotel
445,Bilma,NE,83.77,clear sky,18.6853,12.9164,Expeditions Ténére voyages
446,Faanui,PF,78.53,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
447,Kruisfontein,ZA,61.88,few clouds,-34.0033,24.7314,Oyster Bay House Rental
448,Waverley,ZA,67.53,clear sky,-25.7023,28.2591,Aves Indigo Guesthouse
449,Teknaf,BD,79.07,scattered clouds,20.8624,92.3058,Forestry Guesthouse
451,Lloydminster,CA,50.22,smoke,53.2835,-110.0016,BCMInns - Lloydminster
453,Murupara,NZ,60.28,overcast clouds,-38.4667,176.7,Murupara Motor Camp
457,Colombo,LK,76.95,broken clouds,6.9319,79.8478,Galle Face Hotel
